result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
59	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Tax Day Tea Party - SourceWatch	http://www.sourcewatch.org/index.php?title=Tax_Day_Tea_Party	... century Samuel Adams -- a leader and symbol of disenfranchised Americans suffering under big-government oppression and mismanagement of the economy. ...  	134		
60	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Arizona Center for Law in the Public Interest - SourceWatch	http://www.sourcewatch.org/index.php?title=Arizona_Center_for_Law_in_the_Public_Interest	23 Sep 2008 ... Since 1974, the Center has fought for individuals and groups who lack the power or money to take on big business and big government . ...  	134		
61	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Mitt Romney - SourceWatch	http://www.sourcewatch.org/index.php?title=Mitt_Romney	29 Jan 2008 ... Her view is the old,  classic, European caricature that we describe of big government , big taxation, welfare state. ... Her platform wouldn't ...  	134		
62	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Luke Puckett - SourceWatch	http://www.sourcewatch.org/index.php?title=Luke_Puckett	Though it is unclear where our current Representative stands, his party leadership's solution is for a Washington run, big government controlled healthcare ...  	134		
63	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Citizens for Better Medicare - SourceWatch	http://www.sourcewatch.org/index.php?title=Citizens_for_Better_Medicare	26 Aug 2009 ... Several ads feature "Flo," an arthritic bowler who warns Congress not to let " big government" into her medicine cabinet.  ...www.sourcewatch.org/index.php?title=Citizens_for... - Cached - Similar 	134		
64	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Wise Use Movement/Behind the Wise Use Movement's victory in ...	http://www.sourcewatch.org/index.php?title=Wise_Use_Movement/Behind_the_Wise_Use_Movement%27s_victory_in_Klamath	1 Apr 2008 ... "I heard a farmer who lost his water saying he felt like he was part of a big government experiment," commented Adrian Witcraft, ...  	134		
65	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Military-mass media complex - SourceWatch	http://www.sourcewatch.org/index.php?title=Military-mass_media_complex	It's the system, dear Brutus, the system...a cartel, in effect, of big companies and big government scratching each other's back." ...  	134		
66	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	National Media, Inc. - SourceWatch	http://www.sourcewatch.org/index.php?title=National_Media%2C_Inc.	... preyed on seniors' fears that Congress was going to pass a Medicare prescription drug plan that would put ' big government in seniors' medicine cabinet'. ...  	134		
67	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Competitive Enterprise Institute/Personnel - SourceWatch	http://www.sourcewatch.org/index.php?title=Competitive_Enterprise_Institute/Personnel	19 Jun 2007 ... "during which he began work on his forthcoming book Partners in Plunder: How Big Business and Big Government Undermine the Free Market. ...  	134		
68	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Walter Reed Army Medical Center scandal - SourceWatch	http://www.sourcewatch.org/index.php?title=Walter_Reed_Army_Medical_Center_scandal	... Walter Reed is part of the Veterans Administrationâand its mismanagement is therefore another piece of evidence in their brief against ' big government ', ...  	134		
69	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Glenn Reynolds - SourceWatch	http://www.sourcewatch.org/index.php?title=Glenn_Reynolds	... An Army of Davids: How Markets and Technology Empower Ordinary People to Beat Big Media, Big Government , and Other Goliaths (2006), ISBN 1595550542 ...  	134		
70	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Mike McIntyre - SourceWatch	http://www.sourcewatch.org/index.php?title=Mike_McIntyre	12 Feb 2009 ... McIntyre is politically a conservative populist, sometimes referred to as a " Big  Government Conservative". ...  	134		
71	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Banana Republicans: The War at Home  - SourceWatch	http://www.sourcewatch.org/index.php?title=Banana_Republicans:_The_War_at_Home	Notwithstanding their stated aversion to " big government ," now that conservatives have become the government they have expanded its powers in precisely ...  	134		
72	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Health Benefits Coalition - SourceWatch	http://www.sourcewatch.org/index.php?title=Health_Benefits_Coalition	15 Sep 2009 ... It  claims to be "opposed to big government mandates and believes affordable, quality health care can best be achieved through broader ...  	134		
73	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Steve Miller - SourceWatch	http://www.sourcewatch.org/index.php?title=Steve_Miller	... Washington D.C. by standing firm on Constitutional principles that protect the people of the United Sates from the tyranny of big government spending. ...  	134		
