result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
71	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: The Liberal Lock on Congress	http://www.capitalresearch.org/pubs/pubs.html?id=563	Foundation Watch. The Liberal Lock on Congress. Loyal Allies Lobby for Big Government Programs. By Matthew Vadum | Mar 2007. Liberal advocacy groups âand ...  	11		
72	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: The Campaign for America's Future:	http://www.capitalresearch.org/pubs/pubs.html?id=644	... has moved to the forefront of progressive activism and is pushing for a permanent political realignment that would usher in a new era of Big Government . ...  	11		
73	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Greener Than Thou:	http://www.capitalresearch.org/pubs/pubs.html?id=692	Religious green groups are distorting the tenets of Christianity  in order to pressure church congregations to go along with the Big Government  ...  	11		
74	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: The Surdna Foundation and the Rejection ...	http://www.capitalresearch.org/pubs/pubs.html?id=603	Today his foundation funds nonprofit groups that clamor for Big Government policies to tax, restrict, or outlaw the work that funded the foundation's ...  	11		
75	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Nation's Leading Foundations Violate ...	http://www.capitalresearch.org/pubs/pubs.html?id=39	... Henry Ford,  John  D. MacArthur, and J. Howard Pew, created foundations that ignored their founders' ideals and championed big-government liberalism. ...  	11		
76	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: The Center for Climate Strategies	http://www.capitalresearch.org/pubs/pubs.html?id=634	... commission proceedings to produce a predetermined result: higher energy costs, diminished property and other individual rights, and more Big Government . ...  	11		
77	“big government” site:btobonline.com/apps/pbcs.dll/article?AID=/20100105/MEDIABUSINESS/100109971/1001	n/a	n/a	n/a	n/a		
78	“big government” site:marketwire.com/press-release/American-Business-Media-1097609.html	n/a	n/a	n/a	n/a		
79	“big government” site:fiercebroadbandwireless.com/story/2009-year-review-net-neutrality-fight-begins/2009-12-18	n/a	n/a	n/a	n/a		
80	“big government” site:huffingtonpost.com/timothy-karr/the-top-10-open-internet_b_401570.html	n/a	n/a	n/a	n/a		
81	“big government” site:newsblaze.com/story/20091223052419stat.nb/topstory.html	n/a	n/a	n/a	n/a		
82	“big government” site:trueslant.com/ooma/2009/12/23/are-you-online-now-that-we-are-at-the-end-of-2009	n/a	n/a	n/a	n/a		
83	“big government” site:telecomtv.com/go/?ct=1&	TelecomTV | News | Nacchio defense claims US government out to get him	http://www.telecomtv.com/go/?ct=1&cid=42033	Is his defense team deliberately trying to poison a future jury pool with America's favourite paranoia â big government ? Maybe, but it gets worseâ¦ ...  	4		
84	“big government” site:telecomtv.com/go/?ct=1&	TelecomTV | News | States at loggerheads with Supreme Court over ...	http://www.telecomtv.com/go/?ct=1&cid=36076&id=e9381817-0593-417a-8639-c4c53e2a2a10	Now that the US Supreme Court, the ultimate manifestation of the widely reviled and distrusted " Big Government " has decided to intervene in a convoluted ...  	4		
85	“big government” site:telecomtv.com/go/?ct=1&	TelecomTV | News | It's life Jim, but not as we know it	http://www.telecomtv.com/go/?ct=1&cid=41710&id=e9381817-0593-417a-8639-c4c53e2a2a10	As hard won civil freedoms are rolled back by big government in the name of open -ended initiatives such as the "war on terrorism", massive data bases are ...www.telecomtv.com/go/?ct=1&cid=41710&id=e9381817... - Cached 	4		
86	“big government” site:telecomtv.com/go/?ct=1&	TelecomTV | News | US worries about security implications of ...	http://www.telecomtv.com/go/?ct=1&cid=37674&id=e9381817-0593-417a-8639-c4c53e2a2a10	... US by its very nature is more about the individual than society, and is intrinsically and historically opposed to â big government â and over-regulation. ...  	4		
87	“big government” site:thehill.com/blogs/hillicon-valley/technology/73457-genachowski-over-50-percent-of-small-businesses-dont-have-websites	n/a	n/a	n/a	n/a		
88	“big government” site:business-phone-service.tmcnet.com/topics/business-phone-service/articles/71720-qos-after-net-neutrality-what-the-odds.htm	n/a	n/a	n/a	n/a		
89	“big government” site:nationaljournal.com/njonline/no_20091222_8094.php	n/a	n/a	n/a	n/a		
90	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > Why the tea party ...	http://www.sddt.com/Commentary/article.cfm?Commentary_ID=109&SourceCode=20090421tza	21 Apr 2009 ... All over California, protestors against new taxes and big government spending turned out in respectable numbers the other day for "tea ...  	10		
91	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > State GOP about to ...	http://www.sddt.com/Commentary/article.cfm?Commentary_ID=109&SourceCode=20090922tza	22 Sep 2009 ... This may not make much sense in a state where the party constantly blamed by Republicans for big government and big spending  also has the ...  	10		
92	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > What happened to the ...	http://www.sddt.com/Commentary/article.cfm?Commentary_ID=169&SourceCode=20091116tza	16 Nov 2009 ... Meanwhile the media teabaggers at Fox News rail against high taxes, big government and loss of freedom and traditional values. ...  	10		
93	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > To GIVE and to SERVE ...	http://www.sddt.com/Commentary/article.cfm?Commentary_ID=175&SourceCode=20090325tzc	25 Mar 2009 ... Taxpayers GIVE their money to SERVE a big government agenda under the guise of helping their fellow man. It's charity at the point of a gun. ...  	10		
94	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > Barack Obama's savior ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=175&SourceCode=20090211tzc	Woe unto ye unbelievers in big government who cling to what Obama derided as " ideological rigidity." Well, pardon my unbending belief in fairness and ...www.sddt.com/commentary/article.cfm?Commentary_ID=175... - Cached 	10		
95	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > You might be a ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=175&SourceCode=20090415tzb	... lobbies to protect Second Amendment rights, protests big government , advocates federalism or represents veterans who believe in any of the above, ...  	10		
96	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > Democratic platform's ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=175&SourceCode=20080820tzb		10		
