result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
50	“new regulation” site:savetheinternet.com	Questions about Net Neutrality Opponents Still Can't Answer | Save ...	http://www.savetheinternet.com/blog/09/10/22/questions-about-net-neutrality-opponents-still-cant-answer	22 Oct 2009 ... Open Internet supporters have long combated the false claims of companies like AT&T that Net Neutrality would result in harsh new regulation  ...  	6		
51	“new regulation” site:savetheinternet.com	Frequently Asked Questions | Save the Internet	http://www.savetheinternet.com/frequently-asked-questions	Is Net Neutrality a new regulation ? Absolutely not. Net Neutrality has been part of the Internet since its inception. Pioneers like Vint Cerf and Sir Tim ...  	6		
52	“new regulation” site:savetheinternet.com	Rep. Mark Souder (IN-3) | Save the Internet	http://congress.savetheinternet.com/person/383-mark-souder	The market is a much better way to deal with neutrality and openness on the internet than new regulation . I find it a bit ironic that certain companies want ...  	6		
53	“new regulation” site:savetheinternet.com	SaveTheInternet.com Archive	http://www.savetheinternet.com/blog/2006/09/12/new-report-skewers-telco-spin-on-competition/	12 Sep 2006 ... âNet Neutrality legislation is heavy-handed new regulation .â [They ignore its history as one of the Internet's guiding  regulatory principles ...  	6		
54	“new regulation” site:savetheinternet.com	Why Consumers Demand Internet Freedom	https://www.savetheinternet.com/files/nn_fact_v_fiction_final.pdf	File Format: PDF/Adobe Acrobat - Quick View  FACT #1: Network Neutrality protections have existed for the entire history of the Internet. Fiction: Network Neutrality is â new regulation .â ...  	6		
55	“new regulation” site:netneutrality.michaelgeist.ca	CRTC Submissions Set the Course For New Media Hearings | Neutrality	http://netneutrality.michaelgeist.ca/crtc-submissions-set-course-new-media-hearings	A handful of broadcasters also  support new regulation . The CBC maintains that " new media content aggregators" should be regulated, while Sirius Satellite ...netneutrality.michaelgeist.ca/crtc-submissions-set-course-new-media-hearings - Cached 	3		
56	“new regulation” site:netneutrality.michaelgeist.ca	CRTC New Media Hearing: The Three Battleground Issues [Updated ...	http://netneutrality.michaelgeist.ca/crtc-new-media-hearing-three-battleground-issues-updated	... CRTC to regulate new media content aggregators, while Sirius satellite radio wants Internet radio delivered to mobile devices to face new regulation .] ...  	3		
57	“new regulation” site:netneutrality.michaelgeist.ca	CRTC Network Management Hearings, Day Five: Telus, Cogeco, Barrett ...	http://netneutrality.michaelgeist.ca/crtc-network-management-hearings-day-five-telus-cogeco-barrett-xplore	The threat of new regulation that could constrain ability to earn a reasonable profit is a scary thing for ISPs. Basic issues are easy to identify and ...  	3		
58	“new regulation” site:wired.com/epicenter/2009/09/net-neutrality-announcement	n/a	n/a	n/a	n/a		
59	“new regulation” site:saveournet.ca	n/a	n/a	n/a	n/a		
60	“new regulation” site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
61	“new regulation” site:news.cnet.com/8301-30686_3-10357806-266.html	Verizon, AT&T: Net neutrality not OK for wireless | Signal ...	http://news.cnet.com/8301-30686_3-10357806-266.html	21 Sep 2009 ... But Net neutrality supporters say it is critical for the new regulation to apply to wireless, as well as to wireline, services because in ...  	1		
62	“new regulation” site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
63	“new regulation” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=4	So, pardon me if I'm not falling for the nicey-nice propaganda about how wonderful this new regulation is going to be for everybody. ...  	1		
64	“new regulation” site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
65	“new regulation” site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
66	“new regulation” site:wearetheweb.org	n/a	n/a	n/a	n/a		
67	“new regulation” site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
68	“new regulation” site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
69	“new regulation” site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
